Исходное слово | Перевод | Количество упоминаний
в | V | 3
ну | Well | 3
так | So | 3
оно | that | 3
как | How | 2
лето | summer | 2
что | What | 2
не | Not | 2
извинить | excuse me | 2
начаться | to begin | 2
блин | Crap | 1
телефон | telephone | 1
говорить | speak | 1
сесть | sit down | 1
самый | most | 1
ответственный | responsible | 1
момент | moment | 1
понять | understand | 1
всё | All | 1
тогда | Then | 1
толко | that much | 1
погодить | agree | 1
минь | my | 1
опрос | survey | 1
я | I | 1
там | there | 1
хорошо | Fine | 1
влететь | fly in | 1
получаться | turn out | 1
произойти | happen | 1
телега | cart | 1
лагаета | lags | 1
видеть | see | 1
твой | your | 1
сообщение | message | 1
обосрать | shit all over | 1
телеграм | telegram | 1
написать | write | 1
че | that | 1
то | That | 1
влад | Vlad | 1
бумага | paper | 1
а | A | 1
четыре | four | 1
хороший | good | 1
блогер | blogger | 1
плохо | Badly | 1
ладный | okay | 1
почему | Why | 1
быстро | fast | 1
кончиться | end | 1
да | yes | 1
нет | No | 1
за | for | 1
пол | floor | 1
месяц | month | 1
до | to | 1
только | only | 1
середина | middle | 1
июнь | June | 1
гдеть | where | 1
по | by | 1
сравнение | comparison | 1
с | with | 1
остальной | the rest | 1
год | year | 1
долгий | long | 1
мочь | be able | 1
и | And | 1
чем | how | 1
ты | You | 1
вообще | at all | 1
заниматься | study | 1
обычно | usually | 1
качалка | rocking chair | 1
ходишь? | are you walking? | 1
